# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde dagreeksen <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# SOURCE: ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE (KNMI)
# Comment: These time series are inhomogeneous because of station relocations and changes in observation techniques. As a result these series are not suitable for trend analysis. For climate change studies we refer to the homogenized series of daily data <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> or the Central Netherlands Temperature <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# STN         LON(east)   LAT(north)  ALT(m)      NAME
# 370         5.377       51.451      22.60       Eindhoven   
# YYYYMMDD  : datum (YYYY=jaar;MM=maand;DD=dag)
# HH        : tijd (HH=uur; UT.12 UT=13 MET; 14 MEZT. Uurvak 05 loopt van 04.00 UT tot 5.00 UT
# T         : Temperatuur (in 0.1 graden Celsius) op 1.50 m hoogte tijdens de waarneming / Temperature (in 0.1 degrees Celsius) at 1.50 m at the time of observation
# DR        : Duur van de neerslag (in 0.1 uur) per uurvak / Precipitation duration (in 0.1 hour) during the hourly division
# RH        : Uursom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm) / Hourly precipitation amount (in 0.1 mm) (-1 for <0.05 mm)
# STN,YYYYMMDD,   HH,    T,   DR,   RH
  370,20240101,    1,   63,    6,    6
  370,20240101,    2,   67,    2,    1
  370,20240101,    3,   72,    5,    2
  370,20240101,    4,   71,    3,    1
  370,20240101,    5,   69,    0,   -1
  370,20240101,    6,   67,    0,   -1
  370,20240101,    7,   68,    0,   -1
  370,20240101,    8,   65,    2,    1
  370,20240101,    9,   71,    2,    1
  370,20240101,   10,   76,    3,    4
  370,20240101,   11,   77,    1,    1
  370,20240101,   12,   90,    0,   -1
  370,20240101,   13,   86,    0,    0
  370,20240101,   14,   84,    0,    0
  370,20240101,   15,   72,    0,    0
  370,20240101,   16,   69,    0,    0
  370,20240101,   17,   66,    0,    0
  370,20240101,   18,   67,    0,    0
  370,20240101,   19,   73,    0,    0
  370,20240101,   20,   73,    0,    0
  370,20240101,   21,   65,    1,    2
  370,20240101,   22,   67,    0,   -1
  370,20240101,   23,   69,   10,    3
  370,20240101,   24,   75,   10,    6
  370,20240102,    1,   77,   10,   23
  370,20240102,    2,   79,   10,   20
  370,20240102,    3,   80,   10,   24
  370,20240102,    4,   86,   10,   14
  370,20240102,    5,   97,   10,    7
  370,20240102,    6,  108,    5,    2
  370,20240102,    7,  113,    3,    2
  370,20240102,    8,  115,    0,    0
  370,20240102,    9,  115,    1,    1
  370,20240102,   10,  118,    8,    5
  370,20240102,   11,  116,    5,    3
  370,20240102,   12,  107,   10,   14
  370,20240102,   13,  104,   10,   24
  370,20240102,   14,  111,   10,   12
  370,20240102,   15,  113,    7,    5
  370,20240102,   16,  111,   10,   29
  370,20240102,   17,  112,   10,   14
  370,20240102,   18,  121,    5,    2
  370,20240102,   19,  123,    1,    1
  370,20240102,   20,  122,    0,    0
  370,20240102,   21,  118,    0,    0
  370,20240102,   22,  118,    0,   -1
  370,20240102,   23,  117,    0,    0
  370,20240102,   24,  116,    0,    0
  370,20240103,    1,  107,    0,    0
  370,20240103,    2,  108,    0,   -1
  370,20240103,    3,  103,    0,   -1
  370,20240103,    4,  101,    7,    3
  370,20240103,    5,   99,    2,    1
  370,20240103,    6,   92,    9,   12
  370,20240103,    7,   87,   10,   37
  370,20240103,    8,   85,    8,   16
  370,20240103,    9,   96,    0,   -1
  370,20240103,   10,  104,    0,    0
  370,20240103,   11,  104,    0,    0
  370,20240103,   12,   90,    7,   12
  370,20240103,   13,   85,    3,    5
